# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SOURCE	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	AUTOCOGID
#
15486	koitabu	1013_FRESHWATER_EEL	mina	mina	m i n a	eel	dutton2010	1557	4 7 4 7	AXBZ	MINA	4	4.M.C 4.I.V 4.N.C 4.A.V	2.0 1.5 1.75 0.8	mina	0	1
15487	grass-koiari	1013_FRESHWATER_EEL	mina	mina	m i n a	eel	dutton2010	1557	4 7 4 7	AXBZ	MINA	2	2.M.C 2.I.V 2.N.C 2.A.V	2.0 1.5 1.75 0.8	mina	0	1
15488	mountain-koiari	1013_FRESHWATER_EEL	minama	minama	m i n a m a	eel	dutton2010	1557	4 7 4 7 4 7	AXBYBZ	MINAMA	5	5.M.C 5.I.V 5.N.C 5.A.V 5.M.C 5.A.V	2.0 1.5 1.75 1.3 1.75 0.8	minama	0	1
#
15187	grass-koiari	1014_OR	o (ibe)	o_	o	or (not)	dutton2010	1498	7	X	U	2	2.U.V	1.5	o	0	3
15192	ese	1014_OR	ho	ho	h o	or	dutton2010	1498	3 7	AX	HU	1	1.H.C 1.U.V	2.0 1.5	ho	1	2
15193	ese	1014_OR	aho	aho	a h o	or	dutton2010	1498	7 3 7	XBZ	AHU	1	1.A.V 1.H.C 1.U.V	1.5 1.75 0.8	aho	0	2
15190	north-barai	1014_OR	o	o	o	or	dutton2010	1498	7	X	U	6	6.U.V	1.5	o	0	3
15191	south-barai	1014_OR	o	o	o	or	dutton2010	1498	7	X	U	8	8.U.V	1.5	o	1	3
15188	omie	1014_OR	o	o	o	or	dutton2010	1498	7	X	U	7	7.U.V	1.5	o	1	3
15189	omie	1014_OR	ô	ô	ô/o	and, but, or	dutton2010	1498	7	X	U	7	7.U.V	1.5	ô/o	0	3
#
15076	koitabu	1035_GOOD	maɣe	maɣe	m a ɣ e	good	dutton2010	1480	4 7 3 7	AXBZ	MAGE	4	4.M.C 4.A.V 4.G.C 4.E.V	2.0 1.5 1.75 0.8	maɣe	0	4
15086	grass-koiari	1035_GOOD	mai|teka	teka	t e k a	good	dutton2010	1482	1 7 1 7	AXBZ	TEKA	2	2.T.C 2.E.V 2.K.C 2.A.V	2.0 1.5 1.75 0.8	teka	0	5
15089	ese	1035_GOOD	maa	maa	m aː	good	dutton2010	1482	4 7	AX	MA	1	1.M.C 1.A.V	2.0 1.5	maː	0	4
15078	north-barai	1035_GOOD	ma	ma	m a	good, true	dutton2010	1480	4 7	AX	MA	6	6.M.C 6.A.V	2.0 1.5	ma	0	4
15087	north-barai	1035_GOOD	maj|e	e	e	real	dutton2010	1482	7	X	E	6	6.E.V	1.5	e	1	6
15088	south-barai	1035_GOOD	maʔi|na	na	n a	good	dutton2010	1482	4 7	AX	NA	8	8.N.C 8.A.V	2.0 1.5	na	0	4
15077	omie	1035_GOOD	mae	mae	m a e	good, true	dutton2010	1480	4 7 7	AXZ	MAE	7	7.M.C 7.A.V 7.E.V	2.0 1.5 0.8	mae	0	4
#
15040	koitabu	1075_TRAP_PITFALL	ivi	ivi	i v i	noose, trap	dutton2010	1474	7 3 7	XBZ	IBI	4	4.I.V 4.B.C 4.I.V	1.5 1.75 0.8	ivi	0	7
15041	grass-koiari	1075_TRAP_PITFALL	ivi	ivi	i v i	noose, trap	dutton2010	1474	7 3 7	XBZ	IBI	2	2.I.V 2.B.C 2.I.V	1.5 1.75 0.8	ivi	0	7
15043	north-barai	1075_TRAP_PITFALL	iv-a	iv-a	i v + a	pull string on trap	dutton2010	1474	7 3 9 7	XN_X	IB_A	6	6.I.V 6.B.c 6._._ 6.A.V	1.5 0.8 0.0 1.5	iv+a	0	8
15042	omie	1075_TRAP_PITFALL	iv-e	iv-e	i v + e	trap, net	dutton2010	1474	7 3 9 7	XN_X	IB_E	7	7.I.V 7.B.c 7._._ 7.E.V	1.5 0.8 0.0 1.5	iv+e	0	7
#
14419	ese	1084_CALL	ʔume|j-o	j-o	j + o	call out	dutton2010	1353	6 9 7	A_X	J_U	1	1.J.C 1._._ 1.U.V	2.0 0.0 1.5	j+o	1	9
14417	north-barai	1084_CALL	kume	kume	k u m e	call out	dutton2010	1353	1 7 4 7	AXBZ	KYME	6	6.K.C 6.Y.V 6.M.C 6.E.V	2.0 1.5 1.75 0.8	kume	0	10
14418	south-barai	1084_CALL	ume	ume	u m e	call out	dutton2010	1353	7 4 7	XBZ	YME	8	8.Y.V 8.M.C 8.E.V	1.5 1.75 0.8	ume	0	10
14416	omie	1084_CALL	ʔuv-	ʔuv-	ʔ u v	call out	dutton2010	1353	1 7 3	AXN	HYB	7	7.H.C 7.Y.V 7.B.c	2.0 1.5 0.8	ʔuv	1	11
#
15430	koitabu	1100_COOK_SOMETHING	amuha-	amuha-	a m u h a	cook in ground, mumu	dutton2010	1543	7 4 7 3 7	XBYBZ	AMYHA	4	4.A.V 4.M.C 4.Y.V 4.H.C 4.A.V	1.5 1.75 1.3 1.75 0.8	amuha	0	13
15431	grass-koiari	1100_COOK_SOMETHING	amuha-	amuha-	a m u h a	cook in ground, mumu	dutton2010	1543	7 4 7 3 7	XBYBZ	AMYHA	2	2.A.V 2.M.C 2.Y.V 2.H.C 2.A.V	1.5 1.75 1.3 1.75 0.8	amuha	0	13
15432	mountain-koiari	1100_COOK_SOMETHING	amuva-	amuva-	a m u v a	make a mumu	dutton2010	1543	7 4 7 3 7	XBYBZ	AMYBA	5	5.A.V 5.M.C 5.Y.V 5.B.C 5.A.V	1.5 1.75 1.3 1.75 0.8	amuva	0	13
14439	ese	1100_COOK_SOMETHING	muru-o	muru-o	m u r u + o	cook on hot stones	dutton2010	1359	4 7 5 7 9 7	AXBZ_X	MYRY_U	1	1.M.C 1.Y.V 1.R.C 1.Y.V 1._._ 1.U.V	2.0 1.5 1.75 0.8 0.0 1.5	muru+o	0	12
14440	ese	1100_COOK_SOMETHING	muru-vo	muru-vo	m u r u + v o	cook on hot stones	dutton2010	1359	4 7 5 7 9 3 7	AXBZ_AX	MYRY_BU	1	1.M.C 1.Y.V 1.R.C 1.Y.V 1._._ 1.B.C 1.U.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	muru+vo	0	12
14438	omie	1100_COOK_SOMETHING	muru|oh-e	oh-e	o h + e	cook on hot stones	dutton2010	1359	7 3 9 7	XN_X	UH_E	7	7.U.V 7.H.c 7._._ 7.E.V	1.5 0.8 0.0 1.5	oh+e	1	14
#
15426	koitabu	1102_CLIMB	ɣadi-va-	ɣadi-va-	ɣ a d i + v a	ascend, go up	dutton2010	1542	3 7 1 7 9 3 7	AXBZ_AX	GATI_BA	4	4.G.C 4.A.V 4.T.C 4.I.V 4._._ 4.B.C 4.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	ɣadi+va	0	16
15427	grass-koiari	1102_CLIMB	vadi-ma	vadi-ma	v a d i + m a	ascend, go up	dutton2010	1542	3 7 1 7 9 4 7	AXBZ_AX	BATI_MA	2	2.B.C 2.A.V 2.T.C 2.I.V 2._._ 2.M.C 2.A.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	vadi+ma	0	16
15428	mountain-koiari	1102_CLIMB	vati-	vati-	v a t i	ascend, go up	dutton2010	1542	3 7 1 7	AXBZ	BATI	5	5.B.C 5.A.V 5.T.C 5.I.V	2.0 1.5 1.75 0.8	vati	0	16
14397	ese	1102_CLIMB	aji|m-a	m-a	m + a	go up, ascend	dutton2010	1349	4 9 7	A_X	M_A	1	1.M.C 1._._ 1.A.V	2.0 0.0 1.5	m+a	0	15
14395	north-barai	1102_CLIMB	aji-a	aji-a	a j i + a	go up	dutton2010	1349	7 6 7 9 7	XBZ_X	AJI_A	6	6.A.V 6.J.C 6.I.V 6._._ 6.A.V	1.5 1.75 0.8 0.0 1.5	aji+a	0	17
14396	south-barai	1102_CLIMB	aje-	aje-	a j e	go up, ascend	dutton2010	1349	7 6 7	XBZ	AJE	8	8.A.V 8.J.C 8.E.V	1.5 1.75 0.8	aje	0	17
14394	omie	1102_CLIMB	aji|om-e	om-e	o m + e	go up	dutton2010	1349	7 4 9 7	XN_X	UM_E	7	7.U.V 7.M.c 7._._ 7.E.V	1.5 0.8 0.0 1.5	om+e	0	15
#
15181	mountain-koiari	1130_WE_EXCLUSIVE	no	no	n o	we (exclusive)	dutton2010	1497	4 7	AX	NU	5	5.N.C 5.U.V	2.0 1.5	no	0	18
#
15475	koitabu	1156_OPEN	araha-	araha-	a r a h a	open (stg)	dutton2010	1554	7 5 7 3 7	XBYBZ	ARAHA	4	4.A.V 4.R.C 4.A.V 4.H.C 4.A.V	1.5 1.75 1.3 1.75 0.8	araha	0	19
15476	grass-koiari	1156_OPEN	araha-	araha-	a r a h a	open (stg)	dutton2010	1554	7 5 7 3 7	XBYBZ	ARAHA	2	2.A.V 2.R.C 2.A.V 2.H.C 2.A.V	1.5 1.75 1.3 1.75 0.8	araha	0	19
15477	mountain-koiari	1156_OPEN	alavo	alavo	a l a v o	open (door, window)	dutton2010	1554	7 5 7 3 7	XBYBZ	ALABU	5	5.A.V 5.L.C 5.A.V 5.B.C 5.U.V	1.5 1.75 1.3 1.75 0.8	alavo	0	19
#
15536	grass-koiari	1157_BECAUSE	V-are-ru	V-are-ru	V/ə + a r e + r u	because V	dutton2010	1569	7 9 7 5 7 9 5 7	X_XBZ_AX	E_ARE_RY	2	2.E.V 2._._ 2.A.V 2.R.C 2.E.V 2._._ 2.R.C 2.Y.V	1.5 0.0 1.5 1.75 0.8 0.0 2.0 1.5	V/ə+are+ru	0	20
15537	mountain-koiari	1157_BECAUSE	V-ale-rua	V-ale-rua	V/ə + a l e + r u a	because V	dutton2010	1569	7 9 7 5 7 9 5 7 7	X_XBZ_AXZ	E_ALE_RYA	5	5.E.V 5._._ 5.A.V 5.L.C 5.E.V 5._._ 5.R.C 5.Y.V 5.A.V	1.5 0.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	V/ə+ale+rua	0	20
#
