# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SOURCE	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	AUTOCOGID
#
225129	kapriman	1013_FRESHWATER_EEL	fʌliL	fʌliL	f ʌ l i L/l		dye-et-al-1968	20877	3 7 5 7 5	AXBYN	BELIL	4	4.B.C 4.E.V 4.L.C 4.I.V 4.L.c	2.0 1.5 1.75 1.3 0.8	fʌliL/l	0	3
225130	bahinemo	1013_FRESHWATER_EEL	'ɩlafuli	'ɩlafuli	ɪ l a f u l i		dye-et-al-1968	20877	7 5 7 3 7 5 7	XBYBYBZ	ILABYLI	3	3.I.V 3.L.C 3.A.V 3.B.C 3.Y.V 3.L.C 3.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ɪlafuli	0	2
225128	alamblak	1013_FRESHWATER_EEL	gongʌm	gongʌm	g o n g ʌ m		dye-et-al-1968	20668	1 7 4 1 7 4	AXMBYN	KUNKEM	2	2.K.C 2.U.V 2.N.c 2.K.C 2.E.V 2.M.c	2.0 1.5 1.1 1.75 1.3 0.8	gongʌm	0	1
225131	saniyo-hiyewe	1013_FRESHWATER_EEL	harɛwati	harɛwati	h a r ɛ w a t i		dye-et-al-1968	20778	3 7 5 7 6 7 1 7	AXBYBYBZ	HAREWATI	5	5.H.C 5.A.V 5.R.C 5.E.V 5.W.C 5.A.V 5.T.C 5.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	harɛwati	0	4
#
224741	kapriman	1202_BIG	marbe	marbe	m a r b e		dye-et-al-1968	20953	4 7 5 1 7	AXMBZ	MARPE	4	4.M.C 4.A.V 4.R.c 4.P.C 4.E.V	2.0 1.5 1.1 1.75 0.8	marbe	0	7
224742	bahinemo	1202_BIG	bʌdo	bʌdo	b ʌ d o		dye-et-al-1968	20953	1 7 1 7	AXBZ	PETU	3	3.P.C 3.E.V 3.T.C 3.U.V	2.0 1.5 1.75 0.8	bʌdo	0	6
224740	alamblak	1202_BIG	bʌdokham	bʌdokham	b ʌ d o k h a m		dye-et-al-1968	20745	1 7 1 7 1 3 7 4	AXBYBCYN	PETUKHAM	2	2.P.C 2.E.V 2.T.C 2.U.V 2.K.C 2.H.C 2.A.V 2.M.c	2.0 1.5 1.75 1.3 1.75 1.5 1.3 0.8	bʌdokham	0	5
224743	saniyo-hiyewe	1202_BIG	rasi	rasi	r a s i		dye-et-al-1968	20695	5 7 3 7	AXBZ	RASI	5	5.R.C 5.A.V 5.S.C 5.I.V	2.0 1.5 1.75 0.8	rasi	0	8
