1 ('abaga_sil-1966', '2009_DOG') 2
2 ('abaga_sil-1966', '215_LIE_DOWN') 2
3 ('abau_foley2005', '1394_BONE') 2
4 ('abau_foley2005', '1446_COME') 2
5 ('abau_foley2005', '1493_ONE') 2
6 ('abau_foley2005', '1554_MAN') 2
7 ('abau_foley2005', '695_GO') 2
8 ('abu-arapesh_sil-1975b', '2272_HOT_OR_WARM') 2
9 ('abui-atimelang_stokhof-1975', '1202_BIG') 2
10 ('abui-atimelang_stokhof-1975', '1231_NEW') 2
11 ('abui-atimelang_stokhof-1975', '1248_EYE') 2
12 ('abui-atimelang_stokhof-1975', '1392_LOUSE') 2
13 ('abui-atimelang_stokhof-1975', '1409_SEE') 2
14 ('abui-atimelang_stokhof-1975', '586_GARDEN') 2
15 ('abui-atimelang_stokhof-1975', '670_ROOT') 2
16 ('abui-atimelang_stokhof-1975', '778_SMOKE_EXHAUST') 2
17 ('abui-makadai_stokhof-1975', '1343_SUN') 2
18 ('abui-makadai_stokhof-1975', '1380_TOOTH') 2
19 ('abun-jembun_miedema-welling-1985', '1337_PIG') 2
20 ('aeka_mcelhanon_and_voorhoeve1970', '1343_SUN') 2
21 ('aeka_smallhorn-2011', '1205_TONGUE') 2
22 ('aeka_smallhorn-2011', '1216_MOTHER') 2
23 ('aeka_smallhorn-2011', '1217_FATHER') 2
24 ('aeka_smallhorn-2011', '1228_EARTH_SOIL') 4
25 ('aeka_smallhorn-2011', '1246_SMALL') 4
26 ('aeka_smallhorn-2011', '1247_EAR') 4
27 ('aeka_smallhorn-2011', '1256_HEAD') 5
28 ('aeka_smallhorn-2011', '1295_STICK') 2
29 ('aeka_smallhorn-2011', '1336_EAT') 2
30 ('aeka_smallhorn-2011', '1337_PIG') 2
31 ('aeka_smallhorn-2011', '1366_BOY') 4
32 ('aeka_smallhorn-2011', '1405_NAME') 2
33 ('aeka_smallhorn-2011', '1419_FEAR_BE_AFRAID') 2
34 ('aeka_smallhorn-2011', '1430_STAR') 2
35 ('aeka_smallhorn-2011', '1446_COME') 2
36 ('aeka_smallhorn-2011', '1489_CLOUD') 2
37 ('aeka_smallhorn-2011', '159_SWEET_POTATO') 2
38 ('aeka_smallhorn-2011', '1629_faceforehead') 2
39 ('aeka_smallhorn-2011', '1646_GIRL') 4
40 ('aeka_smallhorn-2011', '1839_CRY') 2
41 ('aeka_smallhorn-2011', '189_HAIR_BODY') 3
42 ('aeka_smallhorn-2011', '217_BETELNUT') 2
43 ('aeka_smallhorn-2011', '628_LEAF') 2
44 ('aeka_smallhorn-2011', '646_ASH') 2
45 ('aeka_smallhorn-2011', '675_FAECES_EXCREMENT') 2
46 ('aeka_smallhorn-2011', '695_GO') 2
47 ('aeka_smallhorn-2011', '763_SKIN') 2
48 ('aeka_smallhorn-2011', '868_BANANA') 2
49 ('aeka_smallhorn-2011', '906_TREE') 2
50 ('aeka_smallhorn-2011', '908_DRUM') 2
51 ('aeka_smallhorn-2011', '948_WATER') 2
52 ('aeka_smallhorn-2011', '962_WOMAN') 2
53 ('aeka_smallhorn-2011', '982_LIME_FRUIT') 2
54 ('aekyom_mcelhanon_and_voorhoeve1970', '221_FIRE') 4
55 ('aekyom_mcelhanon_and_voorhoeve1970', '906_TREE') 2
56 ('aekyom_mcelhanon_and_voorhoeve1970', '948_WATER') 2
57 ('aghu_healey-1970', '1220_TAIL') 2
58 ('aghu_healey-1970', '1416_SIT') 2
59 ('aghu_healey-1970', '1509_MOSQUITO') 2
60 ('aghu_healey-1970', '2009_DOG') 2
61 ('aghu_healey-1970', '2121_ARM_OR_HAND') 2
62 ('agob_mcelhanon_and_voorhoeve1970', '1256_HEAD') 2
63 ('aheave_brown-1973', '1446_COME') 2
64 ('aheave_brown-1973', '671_SAND') 2
65 ('aheave_brown-1973', '72_CLAW') 2
66 ('aisi_daniels2016', '1335_WHITE') 2
67 ('akoye_lloyd-1973', '1205_TONGUE') 2
68 ('akoye_lloyd-1973', '1209_I') 2
69 ('akoye_lloyd-1973', '1215_THOU') 2
70 ('akoye_lloyd-1973', '1554_MAN') 2
71 ('akoye_lloyd-1973', '323_FAT_ORGANIC_SUBSTANCE') 2
72 ('alamblak_davies_and_comrie1985', '1221_NOSE') 2
73 ('alamblak_davies_and_comrie1985', '1236_WHAT') 2
74 ('alamblak_davies_and_comrie1985', '1252_HOUSE') 2
75 ('alamblak_davies_and_comrie1985', '1269_NO') 2
76 ('alamblak_davies_and_comrie1985', '1380_TOOTH') 2
77 ('alamblak_davies_and_comrie1985', '1498_TWO') 2
78 ('alamblak_davies_and_comrie1985', '189_HAIR_BODY') 2
79 ('alamblak_davies_and_comrie1985', '235_FLYING_FOX') 2
80 ('alamblak_davies_and_comrie1985', '906_TREE') 2
81 ('alamblak_dye-et-al-1968', '1257_WING') 2
82 ('alamblak_foley2005', '1336_EAT') 3
83 ('alekano-kefamo_sil-1975g', '1224_LIVER') 2
