1 ('abaga_sil-1966', '2009_DOG') 2
2 ('abaga_sil-1966', '215_LIE_DOWN') 2
3 ('abau_foley2005', '1394_BONE') 2
4 ('abau_foley2005', '1446_COME') 2
5 ('abau_foley2005', '1493_ONE') 2
6 ('abau_foley2005', '1554_MAN') 2
7 ('abau_foley2005', '2255_hesheitthatthose') 2
8 ('abau_foley2005', '695_GO') 2
9 ('abu-arapesh_sil-1975b', '2272_HOT_OR_WARM') 2
10 ('abu-arapesh_sil-1975b', '2636_WE_TWO_EXCLUSIVE') 2
11 ('abui-atimelang_stokhof-1975', '1202_BIG') 2
12 ('abui-atimelang_stokhof-1975', '1231_NEW') 2
13 ('abui-atimelang_stokhof-1975', '1248_EYE') 2
14 ('abui-atimelang_stokhof-1975', '1325_FRIEND') 2
15 ('abui-atimelang_stokhof-1975', '1392_LOUSE') 2
16 ('abui-atimelang_stokhof-1975', '1409_SEE') 2
17 ('abui-atimelang_stokhof-1975', '586_GARDEN') 2
18 ('abui-atimelang_stokhof-1975', '670_ROOT') 2
19 ('abui-atimelang_stokhof-1975', '778_SMOKE_EXHAUST') 2
20 ('abui-makadai_stokhof-1975', '1343_SUN') 2
21 ('abui-makadai_stokhof-1975', '1380_TOOTH') 2
22 ('abun-jembun_miedema-welling-1985', '1337_PIG') 2
23 ('aeka_mcelhanon_and_voorhoeve1970', '1343_SUN') 2
24 ('aeka_smallhorn-2011', '1205_TONGUE') 2
25 ('aeka_smallhorn-2011', '1216_MOTHER') 2
26 ('aeka_smallhorn-2011', '1217_FATHER') 2
27 ('aeka_smallhorn-2011', '1218_ROPE') 2
28 ('aeka_smallhorn-2011', '1228_EARTH_SOIL') 4
29 ('aeka_smallhorn-2011', '1246_SMALL') 4
30 ('aeka_smallhorn-2011', '1247_EAR') 4
31 ('aeka_smallhorn-2011', '1256_HEAD') 5
32 ('aeka_smallhorn-2011', '1295_STICK') 2
33 ('aeka_smallhorn-2011', '1297_LEG') 2
34 ('aeka_smallhorn-2011', '1301_FOOT') 2
35 ('aeka_smallhorn-2011', '1336_EAT') 2
36 ('aeka_smallhorn-2011', '1337_PIG') 2
37 ('aeka_smallhorn-2011', '1346_THROAT') 2
38 ('aeka_smallhorn-2011', '1347_NAPE_OF_NECK') 2
39 ('aeka_smallhorn-2011', '1366_BOY') 4
40 ('aeka_smallhorn-2011', '1405_NAME') 2
41 ('aeka_smallhorn-2011', '1419_FEAR_BE_AFRAID') 2
42 ('aeka_smallhorn-2011', '1430_STAR') 2
43 ('aeka_smallhorn-2011', '1446_COME') 2
44 ('aeka_smallhorn-2011', '1489_CLOUD') 2
45 ('aeka_smallhorn-2011', '159_SWEET_POTATO') 2
46 ('aeka_smallhorn-2011', '1629_faceforehead') 2
47 ('aeka_smallhorn-2011', '1643_COUSIN') 2
48 ('aeka_smallhorn-2011', '1646_GIRL') 4
49 ('aeka_smallhorn-2011', '1661_houseofwoman') 2
50 ('aeka_smallhorn-2011', '1664_RAFT') 2
51 ('aeka_smallhorn-2011', '1667_HOLE') 2
52 ('aeka_smallhorn-2011', '1742_siblingoppositesex') 2
53 ('aeka_smallhorn-2011', '1839_CRY') 2
54 ('aeka_smallhorn-2011', '1884_HARD') 2
55 ('aeka_smallhorn-2011', '189_HAIR_BODY') 3
56 ('aeka_smallhorn-2011', '217_BETELNUT') 2
57 ('aeka_smallhorn-2011', '2256_badworthless') 2
58 ('aeka_smallhorn-2011', '2314_BROTHER-IN-LAW') 2
59 ('aeka_smallhorn-2011', '628_LEAF') 2
60 ('aeka_smallhorn-2011', '646_ASH') 2
61 ('aeka_smallhorn-2011', '675_FAECES_EXCREMENT') 2
62 ('aeka_smallhorn-2011', '695_GO') 2
63 ('aeka_smallhorn-2011', '763_SKIN') 2
64 ('aeka_smallhorn-2011', '868_BANANA') 2
65 ('aeka_smallhorn-2011', '906_TREE') 2
66 ('aeka_smallhorn-2011', '908_DRUM') 2
67 ('aeka_smallhorn-2011', '948_WATER') 2
68 ('aeka_smallhorn-2011', '962_WOMAN') 2
69 ('aeka_smallhorn-2011', '982_LIME_FRUIT') 2
70 ('aeka_wilson-1969', '1301_FOOT') 2
71 ('aekyom_mcelhanon_and_voorhoeve1970', '221_FIRE') 4
72 ('aekyom_mcelhanon_and_voorhoeve1970', '906_TREE') 2
73 ('aekyom_mcelhanon_and_voorhoeve1970', '948_WATER') 2
74 ('aghu_healey-1970', '1049_MOLAR_TOOTH') 2
75 ('aghu_healey-1970', '1220_TAIL') 2
76 ('aghu_healey-1970', '1416_SIT') 2
77 ('aghu_healey-1970', '1509_MOSQUITO') 2
78 ('aghu_healey-1970', '1749_TAKE') 2
79 ('aghu_healey-1970', '1758_OLDER_SISTER') 2
80 ('aghu_healey-1970', '2009_DOG') 2
81 ('aghu_healey-1970', '2121_ARM_OR_HAND') 2
82 ('aghu_healey-1970', '2255_hesheitthatthose') 2
