# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SOURCE	COGID
27353	kamula	2009_DOG	ɛsemala	ɛsemala	ɛ s e m a l a		dutton2010	1
14602	proto-koiarian	2304_THEE_OBLIQUE_CASE_OF_YOU	*a	*a	a		dutton2010	2
14610	proto-koiarian	1402_BREAST	*amu	*amu	a m u		dutton2010	3
14617	proto-koiarian	822_plsuffixonkinshipnouns	*ufu-	*ufu-	u f u		dutton2010	4
14624	proto-koiarian	744_EGG	*uni	*uni	u n i		dutton2010	5
14629	proto-koiarian	2371_BREADFRUIT	*unu[gV]	*unu	u n u		dutton2010	6
14632	proto-koiarian	1221_NOSE	*uri	*uri	u r i		dutton2010	7
14637	proto-koiarian	1486_PLANT_SOMETHING	*va-	*va-	v a		dutton2010	8
14642	proto-koiarian	1236_WHAT	*vadu	*vadu	v a d u		dutton2010	9
14646	proto-koiarian	351_TARO	*vadu	*vadu	v a d u		dutton2010	10
14653	proto-koiarian	1480_BODY	*vafafa[ta]	*vafafa	v a f a f a		dutton2010	11
14659	proto-koiarian	1233_NIGHT	*vafi	*vafi	v a f i		dutton2010	12
14664	proto-koiarian	410_YAM	*vaia	*vaia	v a i a		dutton2010	13
14669	proto-koiarian	749_ENTER	*arí[ra]-	*arí-	a r í/i		dutton2010	14
14676	proto-koiarian	1629_faceforehead	*vari	*vari	v a r i	forehead, face	dutton2010	15
14684	proto-koiarian	763_SKIN	*vata	*vata	v a t a		dutton2010	16
14689	proto-koiarian	1836_VAGINA	*vé	*vé	v é/e		dutton2010	17
14694	proto-koiarian	1222_PENIS	*veɣu	*veɣu	v e ɣ u		dutton2010	18
14699	proto-koiarian	221_FIRE	*vené	*vené	v e n é/e	fire, firewood	dutton2010	19
14707	proto-koiarian	2108_RAINING_OR_RAIN	*ven(í,e)	*ven	v e n	rain	dutton2010	20
14715	proto-koiarian	665_BEE	*vuamu	*vuamu	v u a m u		dutton2010	21
14719	proto-koiarian	2312_YOU_OBLIQUE_CASE_OF_YOU	*ya	*ya	j a		dutton2010	22
14727	proto-koiarian	817_THEY	*yabu	*yabu	j a b u		dutton2010	23
14735	proto-koiarian	1879_DANCE	*yava-	*yava-	j a v a		dutton2010	24
14742	proto-koiarian	1217_FATHER	*baba	*baba	b a b a		dutton2010	25
14748	proto-koiarian	1392_LOUSE	*ʔumu	*ʔumu	ʔ u m u		dutton2010	26
14755	proto-koiarian	1442_STAND	*ʔuri	*ʔuri	ʔ u r i		dutton2010	27
14763	proto-koiarian	178_RIPE	*bae	*bae	b a e		dutton2010	28
14768	proto-koiarian	1507_FRUIT	*bai	*bai	b a i		dutton2010	29
14771	proto-koiarian	834_acertainonesomeanother	*be	*be	b e		dutton2010	30
14781	proto-koiarian	1240_NOT	*bé	*bé	b é/e		dutton2010	31
14791	proto-koiarian	945_SPEAR	*bi	*bi	b i		dutton2010	32
14795	proto-koiarian	683_PERSON	*bia	*bia	b i a		dutton2010	33
14799	proto-koiarian	473_SPEAR_SOMEBODY	*bidi-	*bidi-	b i d i		dutton2010	34
14807	proto-koiarian	2121_ARM_OR_HAND	*ada	*ada	a d a	arm	dutton2010	35
14815	proto-koiarian	1683_BUSH	*boto	*boto	b o t o		dutton2010	36
14818	proto-koiarian	586_GARDEN	*buru	*buru	b u r u		dutton2010	37
14824	proto-koiarian	1251_BELLY	*de	*de	d e		dutton2010	38
14832	proto-koiarian	1935_ANUS	*deɣa	*deɣa	d e ɣ a		dutton2010	39
14837	proto-koiarian	1519_RUN	*dibu-	*dibu-	d i b u		dutton2010	40
14840	proto-koiarian	1430_STAR	*didi	*didi	d i d i		dutton2010	41
14845	proto-koiarian	1453_WASH	*eago-	*eago-	e a g o	to wash	dutton2010	42
14849	proto-koiarian	1453_WASH	*eagu-	*eagu-	e a g u	to wash	dutton2010	43
14854	proto-koiarian	1203_LONG	*ege	*ege	e g e		dutton2010	44
14860	proto-koiarian	1246_SMALL	*(e,i)se	*se	s e		dutton2010	45
14865	proto-koiarian	893_topoffoot	*ada	*ada	a d a		dutton2010	46
14871	proto-koiarian	1439_SWIM	*(e,i)so-	*so-	s o		dutton2010	47
14876	proto-koiarian	217_BETELNUT	*faɣa	*faɣa	f a ɣ a		dutton2010	48
14881	proto-koiarian	628_LEAF	*fana	*fana	f a n a		dutton2010	49
14886	proto-koiarian	840_immediateimperativepluralverbsuffix	*-fe	*-fe	f e		dutton2010	50
14895	proto-koiarian	841_locativenounsuffixattofrom	*-fe	*-fe	f e		dutton2010	51
14903	proto-koiarian	189_HAIR_BODY	*fómo	*fómo	f ó/o m o		dutton2010	52
14909	proto-koiarian	1487_POUR	*fósi-	*fósi-	f ó/o s i		dutton2010	53
14914	proto-koiarian	843_tobuysellbarter	*f(u)ae-v-	*fae-v-	f a e + v		dutton2010	54
14917	proto-koiarian	2093_AFTERWARDS	*gabi	*gabi	g a b i		dutton2010	55
14921	proto-koiarian	498_medialverbsuffixds	*-gé	*-gé	g é/e		dutton2010	56
14931	proto-koiarian	1244_THICK	*aduné	*aduné	a d u n é/e		dutton2010	57
14934	proto-koiarian	1786_DRY_UP	*giri	*giri	g i r i		dutton2010	58
14940	proto-koiarian	159_SWEET_POTATO	*gobeu	*gobeu	g o b e u		dutton2010	59
14944	proto-koiarian	1433_HIT	*ɣa-ma-	*ɣa-ma-	ɣ a + m a		dutton2010	60
14949	proto-koiarian	1423_FIGHT	*ɣaraha-	*ɣaraha-	ɣ a r a h a		dutton2010	61
14954	proto-koiarian	2115_CEASE_OR_FINISH	*ɣare-	*ɣare-	ɣ a r e		dutton2010	62
14962	proto-koiarian	499_medialsequentialsuffixhavingfinishedthatandthen	*-ɣareme	*-ɣareme	ɣ a r e m e	having finished that, and then (Medial Sequential Suffix)	dutton2010	63
14966	proto-koiarian	3038_SAME-SEX_YOUNGER_SIBLING	*ɣóɣo	*ɣóɣo	ɣ ó/o ɣ o		dutton2010	64
14973	proto-koiarian	982_LIME_FRUIT	*ɣudi	*ɣudi	ɣ u d i		dutton2010	65
14977	proto-koiarian	1415_THINK_REFLECT	*ɣuɣu-	*ɣuɣu-	ɣ u ɣ u		dutton2010	66
14981	proto-koiarian	1432_CUT	*afa-	*afa-	a f a		dutton2010	67
14987	proto-koiarian	1336_EAT	*i-	*i-	i		dutton2010	68
14996	proto-koiarian	906_TREE	*idí	*idí	i d í/i		dutton2010	69
15004	proto-koiarian	1493_ONE	*(i,o)gau	*gau	g a u		dutton2010	70
15012	proto-koiarian	1405_NAME	*ifí	*ifí	i f í/i		dutton2010	71
15020	proto-koiarian	1408_HEAR	*ifi-	*ifi-	i f i		dutton2010	72
15028	proto-koiarian	146_SUGAR_CANE	*imi	*imi	i m i	sugar cane	dutton2010	73
15033	proto-koiarian	1210_HEAVY	*isu	*isu	i s u		dutton2010	74
15039	proto-koiarian	1075_TRAP_PITFALL	*ivi	*ivi	i v i		dutton2010	75
15044	proto-koiarian	1418_DIG	*karo-	*karo-	k a r o	to dig up	dutton2010	76
15049	proto-koiarian	813_DO	*ki-	*ki-	k i		dutton2010	77
15053	proto-koiarian	262_HE_OR_SHE_OR_IT	*afu	*afu	a f u	he	dutton2010	78
15062	proto-koiarian	694_GET	*ma-	*ma-	m a		dutton2010	79
15067	proto-koiarian	1199_WIFE	*mabara	*mabara	m a b a r a		dutton2010	80
15075	proto-koiarian	1035_GOOD	*maɣe	*maɣe	m a ɣ e		dutton2010	81
15079	proto-koiarian	962_WOMAN	*maɣina	*maɣina	m a ɣ i n a		dutton2010	82
15085	proto-koiarian	1035_GOOD	*maʔi	*maʔi	m a ʔ i		dutton2010	83
15090	proto-koiarian	1217_FATHER	*mama	*mama	m a m a		dutton2010	84
15095	proto-koiarian	725_OLD_PERSON	*mami	*mami	m a m i		dutton2010	85
15100	proto-koiarian	984_WORK_LABOUR	*me	*me	m e		dutton2010	86
15106	proto-koiarian	506_medialssverbsuffix	*-me	*-me	m e		dutton2010	87
15111	proto-koiarian	619_ANIMAL	*mi	*mi	m i		dutton2010	88
15118	proto-koiarian	1621_SNEEZE	*akisi-	*akisi-	a k i s i		dutton2010	89
15124	proto-koiarian	1447_GIVE	*m(o,a)-	*m-	m		dutton2010	90
15134	proto-koiarian	857_STONE	*muni	*muni	m u n i		dutton2010	91
15141	proto-koiarian	1945_interrogative	*-n(a,e)	*-n	n	interrogative particle (generally suffixed to subject)	dutton2010	92
15148	proto-koiarian	321_CHEW	*nana-	*nana-	n a n a		dutton2010	93
15153	proto-koiarian	1459_IF	*-ne(i)	*-ne	n e	if, when (conditional verb suffix)	dutton2010	94
15156	proto-koiarian	511_forbenefactivecliticisedorsuffixedtonoun	*ni	*ni	n i		dutton2010	95
15161	proto-koiarian	1248_EYE	*ni	*ni	n i		dutton2010	96
15169	proto-koiarian	1839_CRY	*ni[na]-	*ni-	n i		dutton2010	97
15178	proto-koiarian	1212_WE	*no	*no	n o		dutton2010	98
15186	proto-koiarian	1014_OR	*o	*o	o		dutton2010	99
15194	proto-koiarian	3037_SAME-SEX_OLDER_SIBLING	*amakina	*amakina	a m a k i n a		dutton2010	100
15202	proto-koiarian	1895_CLOTHES	*ogona	*ogona	o g o n a		dutton2010	101
15208	proto-koiarian	2102_BURN	*ra-ɣa-	*ra-ɣa-	r a + ɣ a		dutton2010	102
15215	proto-koiarian	269_COOKED	*raɣ(í,e)-	*raɣ-	r a ɣ		dutton2010	103
15221	proto-koiarian	1442_STAND	*ra-mi-	*ra-mi-	r a + m i		dutton2010	104
15229	proto-koiarian	860_toclearbushforplanting	*raf-	*raf-	r a f		dutton2010	105
15235	proto-koiarian	1404_STRAIGHT	*riri-	*riri-	r i r i		dutton2010	106
15243	proto-koiarian	1458_SAY	*ro(i,u)-	*ro-	r o		dutton2010	107
15250	proto-koiarian	1446_COME	*roɣo-	*roɣo-	r o ɣ o		dutton2010	108
15261	proto-koiarian	1949_BEDBUG	*saru	*saru	s a r u		dutton2010	109
15266	proto-koiarian	1333_NECK	*seno	*seno	s e n o		dutton2010	110
15275	proto-koiarian	862_plateauflatland	*amaro	*amaro	a m a r o		dutton2010	111
15279	proto-koiarian	1457_SEW	*sigu-	*sigu-	s i g u		dutton2010	112
15284	proto-koiarian	1453_WASH	*so-	*so-	s o	to wash	dutton2010	113
15290	proto-koiarian	946_BLOOD	*taɣo	*taɣo	t a ɣ o		dutton2010	114
15296	proto-koiarian	466_CASSOWARY	*tubu[are]	*tubu	t u b u		dutton2010	115
15301	proto-koiarian	1436_SCRATCH	*tumu-	*tumu-	t u m u		dutton2010	116
15307	proto-koiarian	1917_TIE	*tumu-	*tumu-	t u m u		dutton2010	117
15313	proto-koiarian	1645_SHORT	*tuʔuaké	*tuʔuaké	t u ʔ u a k é/e		dutton2010	118
15317	proto-koiarian	960_WIND	*uburu	*uburu	u b u r u		dutton2010	119
15323	proto-koiarian	937_BIRD	*ugu[fa]	*ugu	u g u		dutton2010	120
15329	proto-koiarian	175_BLOW_OF_WIND	*ufu-	*ufu-	u f u		dutton2010	121
15674	proto-koiarian	1366_BOY	*ɣami	*ɣami	ɣ a m i	boy, baby, child	dutton2010	1605
92428	proto-koiarian	1336_EAT	*i-	*i-	i		dutton2010	122
260774	proto-koiarian	1401_DRINK	*i-	*i-	i		dutton2010	123
15337	proto-koiraric	1667_HOLE	*aba	*aba	a b a		dutton2010	124
15341	proto-koiraric	1202_BIG	*barug(e,a)	*barug	b a r u g		dutton2010	125
15344	proto-koiraric	1313_MOON	*bata	*bata	b a t a		dutton2010	126
15348	proto-koiraric	2760_MAKE_A_JOKE	*bitu-ɣa-	*bitu-ɣa-	b i t u + ɣ a		dutton2010	127
15351	proto-koiraric	680_BREAK_DESTROY_OR_GET_DESTROYED	*boko-ɣa-	*boko-ɣa-	b o k o + ɣ a		dutton2010	128
15355	proto-koiraric	1455_PULL	*butu-ɣa-	*butu-ɣa-	b u t u + ɣ a		dutton2010	129
15359	proto-koiraric	1209_I	*da	*da	d a		dutton2010	130
15364	proto-koiraric	865_withbymeansof	*da	*da	d a		dutton2010	131
15367	proto-koiraric	1838_NAVEL	*demodo	*demodo	d e m o d o		dutton2010	132
15372	proto-koiraric	1280_FALL	*dob(i,a)-	*dob-	d o b		dutton2010	133
15375	proto-koiraric	307_HAWK	*duna	*duna	d u n a		dutton2010	134
15379	proto-koiraric	1498_TWO	*abu(t)i	*abui	a b u i		dutton2010	135
15383	proto-koiraric	1278_VOMIT	*edo[ɣo]-ɣa-	*edo-ɣa-	e d o + ɣ a		dutton2010	136
15387	proto-koiraric	78_THAT	*eke	*eke	e k e		dutton2010	137
15392	proto-koiraric	879_COUGH	*eno-	*eno-	e n o		dutton2010	138
15396	proto-koiraric	1409_SEE	*ere-ɣa-	*ere-ɣa-	e r e + ɣ a		dutton2010	139
15400	proto-koiraric	866_WIN	*faki	*faki	f a k i		dutton2010	140
15403	proto-koiraric	867_backofhand	*foto	*foto	f o t o		dutton2010	141
15408	proto-koiraric	2272_HOT_OR_WARM	*fufune-	*fufune-	f u f u n e		dutton2010	142
15411	proto-koiraric	868_orplinsomeverbs	*-geve	*-geve	g e v e		dutton2010	143
15418	proto-koiraric	869_orsginsomeverbs	*-ɣa	*-ɣa	ɣ a		dutton2010	144
15425	proto-koiraric	1102_CLIMB	*ɣadi-	*ɣadi-	ɣ a d i	to ascend	dutton2010	145
15429	proto-koiraric	1100_COOK_SOMETHING	*amufa-	*amufa-	a m u f a	cook (in ground on hot stones), mumu	dutton2010	146
15433	proto-koiraric	871_transitiveverbformingsuffixcausative	*-ɣaf(a,o)	*-ɣaf	ɣ a f		dutton2010	147
15437	proto-koiraric	1433_HIT	*ɣama-	*ɣama-	ɣ a m a		dutton2010	148
15441	proto-koiraric	581_COME_BACK	*ɣoira-ɣa-	*ɣoira-ɣa-	ɣ o i r a + ɣ a		dutton2010	149
15445	proto-koiraric	1218_ROPE	*ɣote	*ɣote	ɣ o t e		dutton2010	150
15449	proto-koiraric	2457_PATH_OR_ROAD	*ɣuma	*ɣuma	ɣ u m a		dutton2010	151
15453	proto-koiraric	1335_WHITE	*(k,t)ae	*ae	a e		dutton2010	152
15457	proto-koiraric	1231_NEW	*isa	*isa	i s a		dutton2010	153
15463	proto-koiraric	1256_HEAD	*kina	*kina	k i n a		dutton2010	154
15466	proto-koiraric	873_verbsuffixpresentcontinuoussg	*-ma	*-ma	m a		dutton2010	155
15470	proto-koiraric	907_OLD_WOMAN	*mabata	*mabata	m a b a t a		dutton2010	156
15474	proto-koiraric	1156_OPEN	*arafa-	*arafa-	a r a f a		dutton2010	157
15478	proto-koiraric	2102_BURN	*maɣo[i]-	*maɣo-	m a ɣ o		dutton2010	158
15481	proto-koiraric	2159_GROUND	*matama	*matama	m a t a m a		dutton2010	159
15485	proto-koiraric	1013_FRESHWATER_EEL	*mina[ma]	*mina	m i n a		dutton2010	160
15489	proto-koiraric	1366_BOY	*mo	*mo	m o	boy, male child	dutton2010	161
15496	proto-koiraric	2445_PAPAYA	*(n,m)itani	*itani	i t a n i		dutton2010	162
15499	proto-koiraric	1558_SIMILAR	*naɣate	*naɣate	n a ɣ a t e		dutton2010	163
15503	proto-koiraric	1216_MOTHER	*neina	*neina	n e i n a		dutton2010	164
15508	proto-koiraric	962_WOMAN	*nigi	*nigi	n i g i		dutton2010	165
15512	proto-koiraric	879_verbsuffixpasttensesg	*-nu	*-nu	n u		dutton2010	166
15516	proto-koiraric	1235_WHO	*-are	*-are	a r e		dutton2010	167
15520	proto-koiraric	1337_PIG	*ofo	*ofo	o f o		dutton2010	168
15524	proto-koiraric	1214_THIS	*oko	*oko	o k o		dutton2010	169
15528	proto-koiraric	1236_WHAT	*ono	*ono	o n o		dutton2010	170
15531	proto-koiraric	1418_DIG	*rofo-	*rofo-	r o f o		dutton2010	171
15535	proto-koiraric	1157_BECAUSE	*-ru	*-ru	r u		dutton2010	172
15538	proto-koiraric	2220_MOVE_QUICKLY	*soreka	*soreka	s o r e k a		dutton2010	173
15541	proto-koiraric	1882_BEFORE	*subuta	*subuta	s u b u t a		dutton2010	174
15545	proto-koiraric	1220_TAIL	*(t,d)ete	*ete	e t e		dutton2010	175
15549	proto-koiraric	1577_AND	*-ta...-ta	*-ta...-ta	t a + t a		dutton2010	176
15552	proto-koiraric	881_also	*-taɣe	*-taɣe	t a ɣ e		dutton2010	177
15556	proto-koiraric	1554_MAN	*ata	*ata	a t a		dutton2010	178
15560	proto-koiraric	1748_RIDGE	*tana	*tana	t a n a		dutton2010	179
15564	proto-koiraric	3039_DIFFERENT-SEX_OLDER_SIBLING	*tata	*tata	t a t a		dutton2010	180
15568	proto-koiraric	695_GO	*ti-	*ti-	t i		dutton2010	181
15572	proto-koiraric	2009_DOG	*to	*to	t o		dutton2010	182
15577	proto-koiraric	1429_FULL	*tobo	*tobo	t o b o		dutton2010	183
15581	proto-koiraric	1333_NECK	*tu	*tu	t u		dutton2010	184
15584	proto-koiraric	285_tostay	*u-	*u-	u		dutton2010	185
15588	proto-koiraric	1416_SIT	*[u]gurama-	*gurama-	g u r a m a		dutton2010	186
15593	proto-koiraric	1403_BITE	*ua-ɣa-	*ua-ɣa-	u a + ɣ a		dutton2010	187
15596	proto-koiraric	670_ROOT	*umu-ka	*umu-ka	u m u + k a		dutton2010	188
15600	proto-koiraric	884_medialverbsuffix	*-ata	*-ata	a t a		dutton2010	189
15604	proto-koiraric	1509_MOSQUITO	*un(a,u)	*un	u n		dutton2010	190
15607	proto-koiraric	1580_ONLY	*unaɣe	*unaɣe	u n a ɣ e		dutton2010	191
15611	proto-koiraric	646_ASH	*utuɣu	*utuɣu	u t u ɣ u		dutton2010	192
15615	proto-koiraric	531_HOW_MUCH	*va[e]futi	*vafuti	v a f u t i		dutton2010	193
15618	proto-koiraric	886_cordylinesp	*vabe	*vabe	v a b e		dutton2010	194
15622	proto-koiraric	126_SWEAT_PERSPIRE	*vaɣoto-	*vaɣoto-	v a ɣ o t o	to perspire, sweat	dutton2010	195
15625	proto-koiraric	1343_SUN	*vani	*vani	v a n i	sun, day	dutton2010	196
15629	proto-koiraric	2159_GROUND	*vata	*vata	v a t a		dutton2010	197
15633	proto-koiraric	2101_BE_DEAD_OR_DIE	*vati-	*vati-	v a t i		dutton2010	198
15636	proto-koiraric	1269_NO	*vefite	*vefite	v e f i t e		dutton2010	199
15640	proto-koiraric	1791_BUTTERFLY	*avako	*avako	a v a k o		dutton2010	200
15643	proto-koiraric	592_PISS	*veu-ɣa-	*veu-ɣa-	v e u + ɣ a	urinate	dutton2010	201
15647	proto-koiraric	121_SPIN	*viriviri-	*viriviri-	v i r i v i r i		dutton2010	202
15650	proto-koiraric	215_LIE_DOWN	*ya-ɣa-	*ya-ɣa-	j a + ɣ a		dutton2010	203
15654	proto-koiraric	293_NETBAG	*yaɣa	*yaɣa	j a ɣ a		dutton2010	204
15658	proto-koiraric	810_predicativepossessivesuffix	*-ye	*-ye	j e	Predictive possessive suffix	dutton2010	205
15662	proto-koiraric	1482_SHOULDER	*bag(u,i,o)	*bag	b a g		dutton2010	206
15670	proto-koiraric	1205_TONGUE	*neme	*neme	n e m e	middle, tongue	dutton2010	1604
14211	proto-baraic	694_GET	*abe-	*abe-	a b e		dutton2010	207
14217	proto-baraic	1371_KNEE	*ato-	*ato-	a t o		dutton2010	208
14220	proto-baraic	1200_HUSBAND	*baru	*baru	b a r u		dutton2010	209
14225	proto-baraic	1452_PUSH	*bij-	*bij-	b i j		dutton2010	210
14228	proto-baraic	1205_TONGUE	*bitarV	*bitarV	b i t a r V/ə		dutton2010	211
14233	proto-baraic	2098_FOOT_OR_LEG	*díʔ-	*díʔ-	d í/i ʔ	leg	dutton2010	212
14237	proto-baraic	800_THIGH	*du(ʔ,k)a	*dua	d u a		dutton2010	213
14240	proto-baraic	683_PERSON	*e	*e	e		dutton2010	214
14245	proto-baraic	1620_SON	*farifV	*farifV	f a r i f V/ə		dutton2010	215
14250	proto-baraic	1416_SIT	*fi-	*fi-	f i		dutton2010	216
14254	proto-baraic	175_BLOW_OF_WIND	*fuasi-	*fuasi-	f u a s i		dutton2010	217
14258	proto-baraic	1409_SEE	*aga-	*aga-	a g a		dutton2010	218
14263	proto-baraic	78_THAT	*ga-	*ga-	g a		dutton2010	219
14268	proto-baraic	1247_EAR	*gada	*gada	g a d a		dutton2010	220
14272	proto-baraic	1380_TOOTH	*gubai	*gubai	g u b a i		dutton2010	221
14276	proto-baraic	1236_WHAT	*ida	*ida	i d a		dutton2010	222
14279	proto-baraic	727_WHICH	*ide-	*ide-	i d e		dutton2010	223
14284	proto-baraic	948_WATER	*[i]do	*do	d o		dutton2010	224
14292	proto-baraic	2121_ARM_OR_HAND	*ijV	*ijV	i j V/ə	arm	dutton2010	225
14295	proto-baraic	531_HOW_MUCH	*ijV-	*ijV-	i j V/ə		dutton2010	226
14298	proto-baraic	1498_TWO	*inoki	*inoki	i n o k i		dutton2010	227
14303	proto-baraic	1236_WHAT	*ira(b,r,k)V-	*iraV-	i r a V/ə		dutton2010	228
14307	proto-baraic	163_BLACK	*aja	*aja	a j a		dutton2010	229
14310	proto-baraic	674_MOUTH	*irV	*irV	i r V/ə		dutton2010	230
14314	proto-baraic	1235_WHO	*irara	*irara	i r a r a		dutton2010	231
14320	proto-baraic	1489_CLOUD	*isu	*isu	i s u		dutton2010	232
14323	proto-baraic	1429_FULL	*ito-	*ito-	i t o		dutton2010	233
14327	proto-baraic	1376_NOW	*iviamai	*iviamai	i v i a m a i		dutton2010	234
