# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SOURCE	COGID
236688	marangis	1493_ONE	kaku	kaku	k a k u		foley2005	1
236693	marangis	1498_TWO	mbwoini	mbwoini	m b w o i n i		foley2005	2
236698	marangis	492_THREE	giramot	giramot	g i r a m o t		foley2005	3
236703	marangis	683_PERSON	namot	namot	n a m o t		foley2005	4
236709	marangis	962_WOMAN	aem	aem	a e m		foley2005	5
236715	marangis	1217_FATHER	aes	aes	a e s		foley2005	6
236720	marangis	948_WATER	arum	arum	a r u m		foley2005	7
236725	marangis	221_FIRE	sak	sak	s a k		foley2005	8
236730	marangis	1343_SUN	nau	nau	n a u		foley2005	9
236731	marangis	1343_SUN	ra	ra	r a		foley2005	10
236736	marangis	1313_MOON	ndoŋar	ndoŋar	n d o ŋ a r		foley2005	11
236741	marangis	1430_STAR	gwi	gwi	g w i		foley2005	12
236746	marangis	1970_CANOE	kor	kor	k o r		foley2005	13
236751	marangis	1252_HOUSE	endau	endau	e n d a u		foley2005	14
236756	marangis	930_VILLAGE	n(a)oŋ	noŋ	n o ŋ		foley2005	15
236761	marangis	1402_BREAST	mur	mur	m u r		foley2005	16
236766	marangis	1380_TOOTH	ndakai	ndakai	n d a k a i		foley2005	17
236771	marangis	946_BLOOD	rumb	rumb	r u m b		foley2005	18
236776	marangis	1394_BONE	gagar	gagar	g a g a r		foley2005	19
236781	marangis	1205_TONGUE	mi	mi	m i		foley2005	20
236786	marangis	1247_EAR	kwar	kwar	k w a r		foley2005	21
236791	marangis	1248_EYE	namak	namak	n a m a k		foley2005	22
236796	marangis	1221_NOSE	ŋgorak	ŋgorak	ŋ g o r a k		foley2005	23
236801	marangis	2098_FOOT_OR_LEG	or	or	o r		foley2005	24
236806	marangis	189_HAIR_BODY	mbunat	mbunat	m b u n a t		foley2005	25
236811	marangis	744_EGG	yor	yor	j o r		foley2005	26
236816	marangis	628_LEAF	rapar	rapar	r a p a r		foley2005	27
236821	marangis	906_TREE	padoŋ	padoŋ	p a d o ŋ		foley2005	28
236826	marangis	1174_YESTERDAY	ŋur	ŋur	ŋ u r		foley2005	29
236831	marangis	1329_TOMORROW	ŋarap	ŋarap	ŋ a r a p		foley2005	30
236836	marangis	3137_OAR	anup	anup	a n u p		foley2005	31
236841	marangis	217_BETELNUT	meɲiak	meɲiak	m e ɲ i a k		foley2005	32
236846	marangis	982_LIME_FRUIT	ai	ai	a i		foley2005	33
236851	marangis	2270_SAGO	wak	wak	w a k		foley2005	34
236856	marangis	1337_PIG	markum	markum	m a r k u m		foley2005	35
236861	marangis	1857_CROCODILE	namkai	namkai	n a m k a i		foley2005	36
236866	marangis	730_SNAKE	mindop	mindop	m i n d o p		foley2005	37
236871	marangis	1405_NAME	wi	wi	w i		foley2005	38
236876	marangis	1509_MOSQUITO	naŋgit	naŋgit	n a ŋ g i t		foley2005	39
236881	marangis	2159_GROUND	wakar	wakar	w a k a r		foley2005	40
236886	marangis	675_FAECES_EXCREMENT	yo	yo	j o		foley2005	41
236891	marangis	1408_HEAR	warak	warak	w a r a k		foley2005	42
236896	marangis	1433_HIT	ruŋ	ruŋ	r u ŋ		foley2005	43
236901	marangis	1336_EAT	amb	amb	a m b		foley2005	44
236906	marangis	695_GO	saŋg	saŋg	s a ŋ g		foley2005	45
236911	marangis	1446_COME	rukup	rukup	r u k u p		foley2005	46
236916	marangis	1416_SIT	mbirak	mbirak	m b i r a k		foley2005	47
236921	marangis	1442_STAND	utik	utik	u t i k		foley2005	48
236926	marangis	1202_BIG	nakan	nakan	n a k a n		foley2005	49
236931	marangis	1035_GOOD	yaoŋ	yaoŋ	j a o ŋ		foley2005	50
236936	marangis	163_BLACK	mbukmbuk	mbukmbuk	m b u k m b u k		foley2005	51
236941	marangis	2272_HOT_OR_WARM	wiwi	wiwi	w i w i		foley2005	52
236946	marangis	1287_COLD	gagau	gagau	g a g a u		foley2005	53
236951	marangis	1209_I	yak	yak	j a k		foley2005	54
236956	marangis	2304_THEE_OBLIQUE_CASE_OF_YOU	u	u	u		foley2005	55
236962	marangis	262_HE_OR_SHE_OR_IT	ma	ma	m a		foley2005	21150
236968	marangis	2634_WE_TWO	aŋga	aŋga	a ŋ g a		foley2005	21151
