# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SOURCE	COGID
29094	yaqay	98_ALL	dom	dom	d o m		voorhoeve-1971	6625
29095	yaqay	646_ASH	pop	pop	p o p		voorhoeve-1971	6881
29096	yaqay	1251_BELLY	kandom	kandom	k a n d o m		voorhoeve-1971	6615
29097	yaqay	1202_BIG	arepakat	arepakat	a r e p a k a t		voorhoeve-1971	6557
29098	yaqay	937_BIRD	petakaw	petakaw	p e t a k a w		voorhoeve-1971	6875
29099	yaqay	163_BLACK	otop	otop	o t o p		voorhoeve-1971	6864
29100	yaqay	946_BLOOD	kab	kab	k a b		voorhoeve-1971	6732
29101	yaqay	1394_BONE	ia	ia	i a		voorhoeve-1971	6688
29102	yaqay	1402_BREAST	abur	abur	a b u r		voorhoeve-1971	6498
29103	yaqay	2102_BURN	parade	parade	p a r a d e		voorhoeve-1971	6873
29104	yaqay	1287_COLD	kok	kok	k o k		voorhoeve-1971	6774
29105	yaqay	1446_COME	nam	nam	n a m		voorhoeve-1971	6829
29106	yaqay	1839_CRY	nama-pin	nama-pin	n a m a + p i n		voorhoeve-1971	6831
29107	yaqay	2101_BE_DEAD_OR_DIE	kuruk	kuruk	k u r u k		voorhoeve-1971	6782
29108	yaqay	2009_DOG	kake	kake	k a k e		voorhoeve-1971	6741
29109	yaqay	1786_DRY_UP	apopen	apopen	a p o p e n		voorhoeve-1971	6551
29110	yaqay	1247_EAR	mono	mono	m o n o		voorhoeve-1971	6815
29111	yaqay	1228_EARTH_SOIL	mokon	mokon	m o k o n		voorhoeve-1971	6814
29112	yaqay	1336_EAT	baé	baé	b a é/e		voorhoeve-1971	6574
29113	yaqay	744_EGG	moka	moka	m o k a		voorhoeve-1971	6624
29114	yaqay	675_FAECES_EXCREMENT	nao	nao	n a o	excreta	voorhoeve-1971	6524
29115	yaqay	1248_EYE	kind	kind	k i n d		voorhoeve-1971	6743
29116	yaqay	1406_FAR	makon-pe	makon-pe	m a k o n + p e		voorhoeve-1971	6790
29117	yaqay	323_FAT_ORGANIC_SUBSTANCE	beke	beke	b e k e	fat	voorhoeve-1971	6586
29118	yaqay	1217_FATHER	e	e	e		voorhoeve-1971	6633
29119	yaqay	221_FIRE	reka	reka	r e k a		voorhoeve-1971	6887
29120	yaqay	2638_FISHING	jank	jank	j a n k		voorhoeve-1971	6605
29121	yaqay	2098_FOOT_OR_LEG	ramu	ramu	r a m u	foot, leg	voorhoeve-1971	6885
29122	yaqay	1507_FRUIT	mbaj	mbaj	m b a j		voorhoeve-1971	6803
29123	yaqay	1429_FULL	kopdak	kopdak	k o p d a k		voorhoeve-1971	6777
29124	yaqay	1447_GIVE	panokon	panokon	p a n o k o n		voorhoeve-1971	6872
29125	yaqay	1035_GOOD	bV-endVp	bV-endVp	b V/ə + e n d V/ə p		voorhoeve-1971	6600
29126	yaqay	189_HAIR_BODY	taker	taker	t a k e r		voorhoeve-1971	6898
29127	yaqay	2121_ARM_OR_HAND	marap	marap	m a r a p	hand, arm	voorhoeve-1971	6798
29128	yaqay	1256_HEAD	muku	muku	m u k u		voorhoeve-1971	6820
29129	yaqay	1408_HEAR	bokoke	bokoke	b o k o k e		voorhoeve-1971	6594
29131	yaqay	1210_HEAVY	jendakaw	jendakaw	j e n d a k a w		voorhoeve-1971	6718
29132	yaqay	1209_I	anok	anok	a n o k		voorhoeve-1971	6543
29133	yaqay	1371_KNEE	jambu	jambu	j a m b u		voorhoeve-1971	6709
29134	yaqay	628_LEAF	iri	iri	i r i		voorhoeve-1971	6701
29135	yaqay	215_LIE_DOWN	oara	oara	o a r a		voorhoeve-1971	6851
29136	yaqay	1203_LONG	jearp	jearp	j e a r p		voorhoeve-1971	6717
29137	yaqay	1392_LOUSE	nambun	nambun	n a m b u n		voorhoeve-1971	6536
29138	yaqay	1554_MAN	rade	rade	r a d e		voorhoeve-1971	6883
29139	yaqay	634_MEAT	jaeketek	jaeketek	j a e k e t e k		voorhoeve-1971	6710
29140	yaqay	1313_MOON	kamo	kamo	k a m o		voorhoeve-1971	6742
29141	yaqay	1216_MOTHER	vu	vu	v u		voorhoeve-1971	6553
29142	yaqay	674_MOUTH	mem	mem	m e m	"the cognate with Warkaj tä is Jakaj ete lip"	voorhoeve-1971	6771
29143	yaqay	1258_FINGERNAIL	ri	ri	r i	nail	voorhoeve-1971	6888
29144	yaqay	1405_NAME	eke	eke	e k e		voorhoeve-1971	6642
29145	yaqay	1333_NECK	rob	rob	r o b	neck (nape)	voorhoeve-1971	6891
29146	yaqay	1231_NEW	nokok	nokok	n o k o k		voorhoeve-1971	6846
29147	yaqay	1233_NIGHT	rira	rira	r i r a		voorhoeve-1971	6889
29148	yaqay	1221_NOSE	tamank	tamank	t a m a n k		voorhoeve-1971	6907
29149	yaqay	1240_NOT	bVrakaV	bVrakaV	b V/ə r a k a V/ə		voorhoeve-1971	6601
29150	yaqay	725_OLD_PERSON	makati	makati	m a k a t i		voorhoeve-1971	6789
29151	yaqay	1493_ONE	kajaga-maere	kajaga-maere	k a j a g a + m a e r e		voorhoeve-1971	6740
29152	yaqay	2108_RAINING_OR_RAIN	akaid	akaid	a k a i d	rain	voorhoeve-1971	6515
29153	yaqay	156_RED	kabokob	kabokob	k a b o k o b		voorhoeve-1971	6733
29154	yaqay	1218_ROPE	rup	rup	r u p		voorhoeve-1971	6896
29155	yaqay	671_SAND	gem akakaj	gem_akakaj	g e m + a k a k a j		voorhoeve-1971	6675
29156	yaqay	1623_SPEAK	tumi pak	tumi_pak	t u m i + p a k	say	voorhoeve-1971	1
29157	yaqay	1409_SEE	madi 	madi	m a d i		voorhoeve-1971	6786
29158	yaqay	1416_SIT	pindok	pindok	p i n d o k		voorhoeve-1971	6877
29159	yaqay	763_SKIN	rumb	rumb	r u m b		voorhoeve-1971	6895
29160	yaqay	1585_SLEEP	kindanpoén	kindanpoén	k i n d a n p o é/e n		voorhoeve-1971	6767
29161	yaqay	1246_SMALL	rambakae	rambakae	r a m b a k a e		voorhoeve-1971	6884
29162	yaqay	778_SMOKE_EXHAUST	aku	aku	a k u		voorhoeve-1971	6519
29163	yaqay	1442_STAND	ira	ira	i r a		voorhoeve-1971	6700
29164	yaqay	1430_STAR	mind	mind	m i n d		voorhoeve-1971	6810
29165	yaqay	857_STONE	kor	kor	k o r		voorhoeve-1971	6778
29166	yaqay	1343_SUN	tapak	tapak	t a p a k		voorhoeve-1971	6564
29167	yaqay	1439_SWIM	bokowk	bokowk	b o k o w k		voorhoeve-1971	6596
29168	yaqay	1220_TAIL	kende	kende	k e n d e		voorhoeve-1971	6759
29169	yaqay	1215_THOU	ox	ox	o x		voorhoeve-1971	2
29170	yaqay	1205_TONGUE	inem	inem	i n e m		voorhoeve-1971	3
29171	yaqay	1380_TOOTH	manger	manger	m a n g e r		voorhoeve-1971	4
29172	yaqay	906_TREE	de	de	d e		voorhoeve-1971	5
29173	yaqay	1498_TWO	diakand	diakand	d i a k a n d		voorhoeve-1971	6
29174	yaqay	1443_WALK	riakak	riakak	r i a k a k	walk, go	voorhoeve-1971	7
29175	yaqay	948_WATER	mi	mi	m i		voorhoeve-1971	8
29176	yaqay	1212_WE	indok	indok	i n d o k		voorhoeve-1971	9
29177	yaqay	1335_WHITE	waju	waju	w a j u		voorhoeve-1971	6705
29178	yaqay	962_WOMAN	taw	taw	t a w		voorhoeve-1971	6924
29179	yaqay	2312_YOU_OBLIQUE_CASE_OF_YOU	eox	eox	e o x		voorhoeve-1971	6494
29180	yaqay	868_BANANA	naper	naper	n a p e r		voorhoeve-1971	6836
29181	yaqay	1927_BAMBOO	opok	opok	o p o k		voorhoeve-1971	6859
29182	yaqay	2270_SAGO	baj	baj	b a j		voorhoeve-1971	6572
29183	yaqay	466_CASSOWARY	kuju	kuju	k u j u		voorhoeve-1971	6773
29184	yaqay	1857_CROCODILE	nango	nango	n a n g o		voorhoeve-1971	6835
29185	yaqay	1504_FLY_INSECT	kumburum	kumburum	k u m b u r u m	housefly	voorhoeve-1971	6775
29186	yaqay	1509_MOSQUITO	nangit	nangit	n a n g i t		voorhoeve-1971	6834
29187	yaqay	1337_PIG	batik	batik	b a t i k		voorhoeve-1971	6581
29188	yaqay	730_SNAKE	ra	ra	r a		voorhoeve-1971	6882
29189	yaqay	1567_DOOR	jangor	jangor	j a n g o r		voorhoeve-1971	6714
29190	yaqay	1667_HOLE	kop	kop	k o p		voorhoeve-1971	6776
29191	yaqay	1252_HOUSE	wuri	wuri	w u r i		voorhoeve-1971	6946
30329	tamagario	98_ALL	oraratap	oraratap	o r a r a t a p		voorhoeve-1971	6860
30330	tamagario	646_ASH	ererep	ererep	e r e r e p		voorhoeve-1971	6654
30331	tamagario	1251_BELLY	kaap	kaap	k aː p		voorhoeve-1971	6645
30332	tamagario	1202_BIG	pokura	pokura	p o k u r a		voorhoeve-1971	6879
30333	tamagario	937_BIRD	towpam	towpam	t o w p a m		voorhoeve-1971	6911
30334	tamagario	163_BLACK	takum	takum	t a k u m		voorhoeve-1971	6899
30335	tamagario	946_BLOOD	jet	jet	j e t		voorhoeve-1971	6655
30336	tamagario	1394_BONE	nomop	nomop	n o m o p		voorhoeve-1971	6757
30337	tamagario	1402_BREAST	erem	erem	e r e m		voorhoeve-1971	6653
30338	tamagario	1489_CLOUD	taam	taam	t aː m		voorhoeve-1971	10
30339	tamagario	1287_COLD	namu	namu	n a m u		voorhoeve-1971	6832
30340	tamagario	1446_COME	kae	kae	k a e		voorhoeve-1971	6719
30341	tamagario	1839_CRY	neir	neir	n e i r		voorhoeve-1971	6840
30342	tamagario	2009_DOG	epe	epe	e p e		voorhoeve-1971	6638
30343	tamagario	1786_DRY_UP	taptəken	taptəken	t a p t ə k e n		voorhoeve-1971	6922
30344	tamagario	1247_EAR	ipiram	ipiram	i p i r a m		voorhoeve-1971	6565
30345	tamagario	1228_EARTH_SOIL	mep	mep	m e p		voorhoeve-1971	6589
30346	tamagario	1336_EAT	kapri	kapri	k a p r i		voorhoeve-1971	6749
30347	tamagario	744_EGG	mapiakam	mapiakam	m a p i a k a m		voorhoeve-1971	6797
30348	tamagario	675_FAECES_EXCREMENT	ana	ana	a n a	excreta	voorhoeve-1971	6524
30349	tamagario	1248_EYE	sakam	sakam	s a k a m		voorhoeve-1971	6824
30350	tamagario	1406_FAR	wasu	wasu	w a s u		voorhoeve-1971	6943
30351	tamagario	1217_FATHER	aj	aj	a j		voorhoeve-1971	6509
30352	tamagario	221_FIRE	aru	aru	a r u		voorhoeve-1971	6500
30353	tamagario	2638_FISHING	jakam	jakam	j a k a m		voorhoeve-1971	6605
30354	tamagario	2098_FOOT_OR_LEG	apir	apir	a p i r	foot, leg	voorhoeve-1971	6550
30355	tamagario	1507_FRUIT	jakam	jakam	j a k a m		voorhoeve-1971	6626
30356	tamagario	1429_FULL	kaimataur	kaimataur	k a i m a t a u r		voorhoeve-1971	6672
30357	tamagario	1447_GIVE	kai-	kai-	k a i		voorhoeve-1971	6620
30358	tamagario	1035_GOOD	woxae	woxae	w o x a e		voorhoeve-1971	6527
30359	tamagario	189_HAIR_BODY	upm	upm	u p m		voorhoeve-1971	6580
30360	tamagario	2121_ARM_OR_HAND	jep	jep	j e p		voorhoeve-1971	6541
30361	tamagario	1256_HEAD	tokom	tokom	t o k o m		voorhoeve-1971	6575
30362	tamagario	1408_HEAR	jirəkap	jirəkap	j i r ə k a p		voorhoeve-1971	6686
30363	tamagario	1223_HEART	umur	umur	u m u r		voorhoeve-1971	6935
30364	tamagario	1210_HEAVY	karim	karim	k a r i m		voorhoeve-1971	6734
30365	tamagario	1209_I	nak	nak	n a k		voorhoeve-1971	6543
30366	tamagario	1371_KNEE	kupiakam	kupiakam	k u p i a k a m		voorhoeve-1971	6604
30367	tamagario	628_LEAF	kap	kap	k a p		voorhoeve-1971	6577
30368	tamagario	1203_LONG	maneat	maneat	m a n e a t		voorhoeve-1971	6796
30369	tamagario	1554_MAN	jo	jo	j o		voorhoeve-1971	6715
30370	tamagario	1198_MANY	oraratap	oraratap	o r a r a t a p		voorhoeve-1971	6861
30371	tamagario	634_MEAT	wokom	wokom	w o k o m		voorhoeve-1971	6750
30372	tamagario	1313_MOON	kakaram	kakaram	k a k a r a m		voorhoeve-1971	6730
30373	tamagario	1216_MOTHER	owp	owp	o w p		voorhoeve-1971	6548
30374	tamagario	674_MOUTH	mowp	mowp	m o w p		voorhoeve-1971	6745
30375	tamagario	1258_FINGERNAIL	je-wop	je-wop	j e + w o p	nail	voorhoeve-1971	6649
30376	tamagario	1333_NECK	biriakam	biriakam	b i r i a k a m	neck (nape)	voorhoeve-1971	6587
30377	tamagario	1231_NEW	wamatap	wamatap	w a m a t a p		voorhoeve-1971	6848
30378	tamagario	1233_NIGHT	ete mowp	ete_mowp	e t e + m o w p		voorhoeve-1971	6635
30379	tamagario	1221_NOSE	jup	jup	j u p		voorhoeve-1971	6727
30380	tamagario	725_OLD_PERSON	owatap	owatap	o w a t a p		voorhoeve-1971	6853
30381	tamagario	1493_ONE	pakamok	pakamok	p a k a m o k		voorhoeve-1971	6792
30382	tamagario	2108_RAINING_OR_RAIN	muna	muna	m u n a	rain	voorhoeve-1971	6669
30383	tamagario	156_RED	pipəre	pipəre	p i p ə r e		voorhoeve-1971	6878
30384	tamagario	2457_PATH_OR_ROAD	kame	kame	k a m e	road/path	voorhoeve-1971	6744
30385	tamagario	671_SAND	tiniberen	tiniberen	t i n i b e r e n		voorhoeve-1971	6651
30386	tamagario	1458_SAY	keep	keep	k eː p		voorhoeve-1971	6760
30387	tamagario	1409_SEE	takape	takape	t a k a p e		voorhoeve-1971	6847
30388	tamagario	1416_SIT	tei-	tei-	t e i		voorhoeve-1971	6602
30389	tamagario	763_SKIN	pip	pip	p i p		voorhoeve-1971	6659
30390	tamagario	1585_SLEEP	apun	apun	a p u n		voorhoeve-1971	6554
30391	tamagario	1246_SMALL	tapəreak	tapəreak	t a p ə r e a k		voorhoeve-1971	6920
30392	tamagario	778_SMOKE_EXHAUST	aruarip	aruarip	a r u a r i p		voorhoeve-1971	6499
30393	tamagario	1442_STAND	wapi erum	wapi_erum	w a p i + e r u m		voorhoeve-1971	6631
30394	tamagario	1430_STAR	tupup	tupup	t u p u p		voorhoeve-1971	6802
30395	tamagario	857_STONE	maitu	maitu	m a i t u		voorhoeve-1971	6788
30396	tamagario	1343_SUN	taam	taam	t aː m		voorhoeve-1971	6564
30397	tamagario	1439_SWIM	kipkup	kipkup	k i p k u p		voorhoeve-1971	6599
30398	tamagario	1220_TAIL	kapm	kapm	k a p m		voorhoeve-1971	6748
30399	tamagario	78_THAT	omar	omar	o m a r		voorhoeve-1971	6856
30400	tamagario	1215_THOU	ak	ak	a k		voorhoeve-1971	6514
30401	tamagario	1205_TONGUE	marap	marap	m a r a p		voorhoeve-1971	6799
30402	tamagario	1380_TOOTH	ukom	ukom	u k o m		voorhoeve-1971	6784
30403	tamagario	906_TREE	wom	wom	w o m		voorhoeve-1971	6613
30404	tamagario	1498_TWO	totigi	totigi	t o t i g i		voorhoeve-1971	6694
30405	tamagario	1443_WALK	onom	onom	o n o m	walk, go	voorhoeve-1971	6858
30406	tamagario	948_WATER	okom	okom	o k o m		voorhoeve-1971	6570
30407	tamagario	1212_WE	nep	nep	n e p		voorhoeve-1971	6842
30408	tamagario	1236_WHAT	takane	takane	t a k a n e		voorhoeve-1971	6795
30409	tamagario	1335_WHITE	koprap	koprap	k o p r a p		voorhoeve-1971	11
30410	tamagario	962_WOMAN	onop	onop	o n o p		voorhoeve-1971	6650
30411	tamagario	2312_YOU_OBLIQUE_CASE_OF_YOU	akan	akan	a k a n		voorhoeve-1971	6494
30412	tamagario	868_BANANA	kaer	kaer	k a e r		voorhoeve-1971	6737
30413	tamagario	1927_BAMBOO	tupu	tupu	t u p u		voorhoeve-1971	6685
30414	tamagario	2270_SAGO	makam	makam	m a k a m		voorhoeve-1971	6623
30415	tamagario	466_CASSOWARY	kujo	kujo	k u j o		voorhoeve-1971	6641
30416	tamagario	1504_FLY_INSECT	more	more	m o r e	housefly	voorhoeve-1971	6729
